arterialise,nonshifter
arterialize,nonshifter
article,nonshifter
articulate,nonshifter
ascend,nonshifter
ascertain,nonshifter
ascribe,nonshifter
ash,nonshifter
ask,nonshifter
ask_for,nonshifter
ask_in,nonshifter
ask_out,nonshifter
ask_over,nonshifter
asperse,nonshifter
asphalt,nonshifter
asphyxiate,nonshifter
aspirate,nonshifter
aspire,nonshifter
assail,nonshifter
assassinate,nonshifter
assault,nonshifter
assay,nonshifter
assemble,nonshifter
assent,nonshifter
assert,nonshifter
assess,nonshifter
asseverate,nonshifter
assibilate,nonshifter
assign,nonshifter
assimilate,nonshifter
assist,nonshifter
associate,nonshifter
assoil,shifter
assonate,nonshifter
assort,nonshifter
assuage,shifter
assume,nonshifter
assure,nonshifter
asterisk,nonshifter
astonish,nonshifter
astound,nonshifter
astringe,nonshifter
astrogate,nonshifter
atom-bomb,nonshifter
atomise,nonshifter
atomize,nonshifter
atone,shifter
atrophy,shifter
attach,nonshifter
attack,shifter
attain,nonshifter
attaint,nonshifter
attemper,nonshifter
attempt,nonshifter
attend,nonshifter
attenuate,shifter
attest,nonshifter
attire,nonshifter
attitudinise,nonshifter
attitudinize,nonshifter
attorn,nonshifter
attract,nonshifter
attribute,nonshifter
attune,nonshifter
auction,nonshifter
auction_off,nonshifter
auctioneer,nonshifter
audit,nonshifter
audition,nonshifter
augment,nonshifter
augur,nonshifter
aurify,nonshifter
auscultate,nonshifter
auspicate,nonshifter
authenticate,nonshifter
author,nonshifter
authorise,nonshifter
authorize,nonshifter
autoclave,nonshifter
autograph,nonshifter
automate,nonshifter
automatise,nonshifter
automatize,nonshifter
automobile,nonshifter
autopsy,nonshifter
autotomise,nonshifter
autotomize,nonshifter
avail,nonshifter
avalanche,nonshifter
avenge,nonshifter
aver,nonshifter
average,nonshifter
average_out,nonshifter
avert,shifter
avianise,nonshifter
avianize,nonshifter
aviate,nonshifter
avoid,shifter
avouch,nonshifter
avow,nonshifter
avulse,shifter
await,nonshifter
awake,nonshifter
awaken,nonshifter
award,nonshifter
awe,nonshifter
ax,shifter
axe,shifter
azure,nonshifter
baa,nonshifter
babbitt,nonshifter
babble,nonshifter
babble_out,nonshifter
baby,nonshifter
baby-sit,nonshifter
babysit,nonshifter
bach,nonshifter
bachelor,nonshifter
back,shifter
back_away,shifter
back_down,shifter
back_off,shifter
back_out,shifter
back_up,shifter
backbite,nonshifter
backcross,nonshifter
backdate,nonshifter
backfire,nonshifter
background,nonshifter
backhand,nonshifter
backlash,nonshifter
backlog,nonshifter
backpack,nonshifter
backpedal,shifter
backscatter,nonshifter
backslap,nonshifter
backslide,nonshifter
backspace,nonshifter
backstitch,nonshifter
backstop,nonshifter
backstroke,nonshifter
backtrack,nonshifter
bacterise,nonshifter
bacterize,nonshifter
badge,nonshifter
badger,nonshifter
badmouth,nonshifter
baffle,shifter
bag,shifter
bail,nonshifter
bail_out,nonshifter
bait,nonshifter
bake,nonshifter
balance,nonshifter
bald,nonshifter
bale,nonshifter
bale_out,nonshifter
balk,shifter
balkanise,nonshifter
balkanize,nonshifter
ball,nonshifter
ball_over,nonshifter
ball_up,shifter
ballast,nonshifter
balloon,nonshifter
ballot,nonshifter
ballyhoo,nonshifter
ballyrag,nonshifter
bamboozle,nonshifter
ban,shifter
band,nonshifter
band_together,nonshifter
bandage,nonshifter
bandy,nonshifter
bandy_about,nonshifter
bang,nonshifter
bang_out,nonshifter
bang_up,shifter
banish,shifter
bank,nonshifter
bankroll,nonshifter
bankrupt,nonshifter
banquet,nonshifter
banter,nonshifter
baptise,nonshifter
baptize,nonshifter
bar,shifter
barb,nonshifter
barbarise,nonshifter
barbarize,nonshifter
barbecue,nonshifter
barbeque,nonshifter
barber,nonshifter
bard,nonshifter
barde,nonshifter
bare,nonshifter
barf,nonshifter
bargain,nonshifter
bargain_down,nonshifter
barge,nonshifter
barge_in,nonshifter
bark,nonshifter
barnstorm,nonshifter
baronetise,nonshifter
baronetize,nonshifter
barrack,nonshifter
barrage,nonshifter
barrel,nonshifter
barricade,shifter
barricado,shifter
barter,nonshifter
barter_away,nonshifter
base,nonshifter
bash,nonshifter
basify,nonshifter
bask,nonshifter
basset,nonshifter
bastardise,nonshifter
bastardize,nonshifter
baste,nonshifter
bastinado,nonshifter
bat,nonshifter
batch,nonshifter
bate,shifter
batfowl,nonshifter
bathe,nonshifter
batik,nonshifter
batten,nonshifter
batten_down,nonshifter
batter,nonshifter
battle,shifter
baulk,shifter
bawl,nonshifter
bawl_out,nonshifter
bay,nonshifter
bayonet,nonshifter
be,nonshifter
be_on,nonshifter
beach,nonshifter
beacon,nonshifter
bead,nonshifter
beak,nonshifter
beam,nonshifter
bean,nonshifter
bear,nonshifter
bear_away,nonshifter
bear_down,nonshifter
bear_off,nonshifter
bear_on,nonshifter
bear_out,nonshifter
bear_up,nonshifter
bear_upon,nonshifter
beard,nonshifter
beat,nonshifter
beat_about,nonshifter
beat_back,shifter
beat_down,nonshifter
beat_in,nonshifter
beat_out,nonshifter
beat_up,nonshifter
beatify,nonshifter
beautify,nonshifter
beaver,nonshifter
beaver_away,nonshifter
bebop,nonshifter
becalm,nonshifter
bechance,nonshifter
becharm,nonshifter
beckon,nonshifter
becloud,nonshifter
become,nonshifter
bed,nonshifter
bed-hop,nonshifter
bed_down,nonshifter
bedamn,nonshifter
bedaub,nonshifter
bedaze,nonshifter
bedazzle,nonshifter
bedeck,nonshifter
bedevil,nonshifter
bedew,nonshifter
bedhop,nonshifter
bedight,nonshifter
bedim,nonshifter
bedizen,nonshifter
bedraggle,nonshifter
beef,nonshifter
beef_up,nonshifter
beep,nonshifter
beeswax,nonshifter
beetle,nonshifter
beetle_off,nonshifter
befall,nonshifter
befit,nonshifter
befog,nonshifter
befool,nonshifter
befoul,nonshifter
befriend,nonshifter
befuddle,nonshifter
beg,nonshifter
beg_off,nonshifter
beget,nonshifter
beggar,nonshifter
begild,nonshifter
begin,nonshifter
begrime,nonshifter
begrudge,nonshifter
beguile,nonshifter
behave,nonshifter
behead,nonshifter
behold,nonshifter
behoove,nonshifter
behove,nonshifter
bejewel,nonshifter
belabor,nonshifter
belabour,nonshifter
belay,nonshifter
belch,nonshifter
beleaguer,nonshifter
belie,shifter
believe,nonshifter
believe_in,nonshifter
belittle,shifter
bell,nonshifter
bellow,nonshifter
belly,nonshifter
belly-flop,nonshifter
belly-land,nonshifter
belly_out,nonshifter
bellyache,nonshifter
bellylaugh,nonshifter
belong,nonshifter
belt,nonshifter
belt_along,nonshifter
belt_down,nonshifter
belt_out,nonshifter
belt_up,nonshifter
bemire,nonshifter
bemoan,nonshifter
bemock,nonshifter
bemuse,nonshifter
bench,nonshifter
bend,nonshifter
benday,nonshifter
benefact,nonshifter
benefice,nonshifter
beneficiate,nonshifter
benefit,nonshifter
benficiate,nonshifter
benight,nonshifter
benumb,shifter
beplaster,nonshifter
bequeath,nonshifter
berate,nonshifter
bereave,nonshifter
berry,nonshifter
berth,nonshifter
beseech,nonshifter
beseem,nonshifter
beset,nonshifter
beshrew,nonshifter
besiege,nonshifter
besmear,nonshifter
besmirch,nonshifter
besot,nonshifter
bespangle,nonshifter
bespatter,nonshifter
bespeak,nonshifter
bespeckle,nonshifter
bespot,nonshifter
besprinkle,nonshifter
best,nonshifter
bestialise,nonshifter
bestialize,nonshifter
bestir,nonshifter
bestow,nonshifter
bestrew,nonshifter
bestride,nonshifter
bet,nonshifter
bet_on,nonshifter
bethink,nonshifter
betide,nonshifter
betoken,nonshifter
betray,shifter
betroth,nonshifter
better,shifter
bevel,nonshifter
bewail,nonshifter
beware,nonshifter
bewhisker,nonshifter
bewilder,nonshifter
bewitch,nonshifter
bewray,nonshifter
bias,nonshifter
bib,nonshifter
bicker,nonshifter
bicycle,nonshifter
bid,nonshifter
bide,nonshifter
biff,nonshifter
bifurcate,nonshifter
bight,nonshifter
bike,nonshifter
bilge,nonshifter
bilk,shifter
bill,nonshifter
billet,nonshifter
billow,nonshifter
bin,nonshifter
bind,nonshifter
bind_off,nonshifter
bind_over,nonshifter
binge,nonshifter
bioassay,nonshifter
biodegrade,shifter
birch,nonshifter
bird,nonshifter
bird-nest,nonshifter
birdie,nonshifter
birdlime,nonshifter
birdnest,nonshifter
birdwatch,nonshifter
birl,nonshifter
birle,nonshifter
birr,nonshifter
birth,nonshifter
bisect,nonshifter
bitch,nonshifter
bite,nonshifter
bite_off,nonshifter
bite_out,nonshifter
bitt,nonshifter
bitter,nonshifter
bituminise,nonshifter
bituminize,nonshifter
bivouac,nonshifter
blab,nonshifter
blab_out,nonshifter
blabber,nonshifter
black,nonshifter
black_out,shifter
blackball,shifter
blackberry,nonshifter
blacken,nonshifter
blacken_out,nonshifter
blackguard,nonshifter
blackjack,nonshifter
blacklead,nonshifter
blackleg,nonshifter
blacklist,shifter
blackmail,nonshifter
blacktop,nonshifter
blackwash,nonshifter
blame,nonshifter
blanch,nonshifter
blandish,nonshifter
blank,nonshifter
blank_out,shifter
blanket,nonshifter
blare,nonshifter
blare_out,nonshifter
blarney,nonshifter
blaspheme,nonshifter
blast,shifter
blast_off,nonshifter
blat,nonshifter
blat_out,nonshifter
blate,nonshifter
blather,nonshifter
blaze,nonshifter
blaze_away,nonshifter
blaze_out,nonshifter
blaze_up,nonshifter
blazon,nonshifter
blazon_out,nonshifter
bleach,nonshifter
bleach_out,nonshifter
blear,shifter
bleat,nonshifter
bleed,nonshifter
bleep,nonshifter
blemish,nonshifter
blench,nonshifter
blend,nonshifter
blend_in,nonshifter
bless,nonshifter
blether,nonshifter
blight,nonshifter
blind,shifter
blindfold,nonshifter
blindside,nonshifter
blink,nonshifter
blink_away,nonshifter
blinker,nonshifter
blister,nonshifter
blither,nonshifter
blitz,nonshifter
blitzkrieg,nonshifter
bloat,nonshifter
blob,nonshifter
block,shifter
block_off,shifter
block_out,shifter
block_up,shifter
blockade,shifter
blog,nonshifter
blood,nonshifter
bloody,nonshifter
bloom,nonshifter
blossom,nonshifter
blossom_forth,nonshifter
blossom_out,nonshifter
blot,nonshifter
blot_out,nonshifter
blotch,nonshifter
bloviate,nonshifter
blow,shifter
blow-dry,nonshifter
blow_off,shifter
blow_out,shifter
blow_over,shifter
blow_up,shifter
blub,nonshifter
blubber,nonshifter
blubber_out,nonshifter
bludgeon,nonshifter
blue,nonshifter
blue-pencil,nonshifter
blueprint,nonshifter
bluff,nonshifter
bluff_out,nonshifter
blunder,nonshifter
blunder_out,nonshifter
blunt,shifter
blur,shifter
blurt,nonshifter
blurt_out,nonshifter
blush,nonshifter
bluster,nonshifter
board,nonshifter
board_up,nonshifter
boast,nonshifter
boat,nonshifter
boat-race,nonshifter
bob,nonshifter
bob_about,nonshifter
bob_around,nonshifter
bob_up,nonshifter
bobble,shifter
bobsled,nonshifter
bode,nonshifter
bodge,shifter
body,nonshifter
body-surf,nonshifter
body_forth,nonshifter
bodypaint,nonshifter
bog,shifter
bog_down,shifter
bogey,nonshifter
boggle,nonshifter
boil,nonshifter
boil_down,nonshifter
boil_over,nonshifter
boldface,nonshifter
bollix,shifter
bollix_up,shifter
bollocks,shifter
bollocks_up,shifter
bolshevise,nonshifter
bolshevize,nonshifter
bolster,nonshifter
bolster_up,nonshifter
bolt,nonshifter
bolt_down,nonshifter
bolt_out,nonshifter
bomb,nonshifter
bomb_out,nonshifter
bomb_up,nonshifter
bombard,nonshifter
bombilate,nonshifter
bombinate,nonshifter
bombproof,nonshifter
bond,nonshifter
bonderise,nonshifter
bonderize,nonshifter
bone,nonshifter
bone_up,nonshifter
bong,nonshifter
bonk,nonshifter
bonnet,nonshifter
boo,nonshifter
boob,nonshifter
boogie,nonshifter
book,nonshifter
book_up,nonshifter
boom,nonshifter
boom_out,nonshifter
boomerang,nonshifter
boondoggle,nonshifter
boost,nonshifter
boost_up,nonshifter
boot,nonshifter
boot_out,shifter
bootleg,nonshifter
bootlick,nonshifter
bootstrap,nonshifter
booze,nonshifter
bop,nonshifter
border,nonshifter
border_on,nonshifter
bore,nonshifter
borrow,nonshifter
bosom,nonshifter
boss,nonshifter
boss_around,nonshifter
botanise,nonshifter
botanize,nonshifter
botch,shifter
botch_up,shifter
bother,nonshifter
bottle,nonshifter
bottle_up,shifter
bottlefeed,nonshifter
bottleneck,shifter
bottom,nonshifter
bottom_out,nonshifter
bounce,nonshifter
bounce_back,shifter
bounce_out,nonshifter
bound,nonshifter
bound_off,nonshifter
bourgeon,nonshifter
bouse,nonshifter
bow,nonshifter
bow_down,nonshifter
bow_out,shifter
bowdlerise,nonshifter
bowdlerize,nonshifter
bower,nonshifter
bowl,nonshifter
bowl_over,nonshifter
bowse,nonshifter
box,nonshifter
box_in,nonshifter
box_up,nonshifter
boycott,shifter
brabble,nonshifter
brace,nonshifter
brace_up,nonshifter
brachiate,nonshifter
bracket,nonshifter
bracket_out,nonshifter
brad,nonshifter
brag,nonshifter
braid,nonshifter
brail,nonshifter
braille,nonshifter
brain,nonshifter
brainstorm,nonshifter
brainwash,nonshifter
braise,nonshifter
brake,nonshifter
branch,nonshifter
branch_out,nonshifter
brand,nonshifter
brandish,nonshifter
brandmark,nonshifter
brattice,nonshifter
brattle,nonshifter
brave,nonshifter
brave_out,nonshifter
bravo,nonshifter
brawl,nonshifter
bray,nonshifter
braze,nonshifter
brazen,nonshifter
breach,shifter
bread,nonshifter
break,shifter
break-dance,nonshifter
break_apart,shifter
break_away,shifter
break_down,shifter
break_even,nonshifter
break_in,nonshifter
break_off,shifter
break_open,nonshifter
break_out,shifter
break_through,nonshifter
break_up,shifter
break_with,shifter
breakfast,nonshifter
bream,nonshifter
breast,nonshifter
breastfeed,nonshifter
breaststroke,nonshifter
breathalyse,nonshifter
breathalyze,nonshifter
breathe,nonshifter
breathe_in,nonshifter
breathe_out,nonshifter
brecciate,nonshifter
breed,nonshifter
breeze,nonshifter
breeze_through,nonshifter
brevet,nonshifter
brew,nonshifter
bribe,nonshifter
brick_in,nonshifter
brick_over,nonshifter
brick_up,nonshifter
bridge,nonshifter
bridge_over,nonshifter
bridle,nonshifter
bridle_up,nonshifter
brief,nonshifter
brigade,nonshifter
brighten,nonshifter
brim,nonshifter
brim_over,nonshifter
brine,nonshifter
bring,nonshifter
bring_about,nonshifter
bring_around,shifter
bring_back,nonshifter
bring_down,shifter
bring_forth,nonshifter
bring_forward,nonshifter
bring_in,nonshifter
bring_off,nonshifter
bring_on,nonshifter
bring_out,nonshifter
bring_through,nonshifter
bring_up,nonshifter
brisk,nonshifter
brisk_up,nonshifter
brisken,nonshifter
bristle,nonshifter
bristle_up,nonshifter
broach,nonshifter
broadcast,nonshifter
broaden,nonshifter
broadside,nonshifter
brocade,nonshifter
